region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab,dist_agence_km,agences_pour_100k_hab,D1_deficit_mm,D2_deficit_agences,D3_eloignement,D4_enjeu_demographique,DCPI,DCPI_rang,n_D1_deficit_mm,n_D2_deficit_agences,n_D3_eloignement,n_D4_enjeu_demographique,rang_DCPI
Maritime,Yoto,Yoto 3,54086,,0,0,0,0,0,27,24,13,0,True,2003.1851851851848,4.992049698628111,22.583419888366702,0.0,2003.1851851851848,-0.0,22.583419888366702,54086,44.37306401731085,75.38461538461539,23.427806237079228,100.0,39.03912212113556,12.924708079515948,20
Savanes,Oti-Sud,Oti-Sud 2,44324,,0,0,0,0,0,39,16,28,6,True,1136.5128205128206,8.798844869596607,31.011610715635296,0.0,1136.5128205128206,-0.0,31.011610715635296,44324,44.24799773651736,70.5982905982906,12.5293560665905,100.0,53.90306610427136,10.067121952361855,21
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,66871,,0,0,0,0,0,56,40,49,0,True,1194.125,8.37433267036533,27.427991341775595,0.0,1194.125,-0.0,27.427991341775595,66871,44.20534049846499,76.28205128205127,13.253832227303947,100.0,47.583000657059195,16.667203330045048,22
Kara,Dankpen,Dankpen 3,76652,,0,0,0,0,0,37,16,23,12,True,2071.675675675676,4.827010384595314,17.990536002630197,0.0,2071.675675675676,-0.0,17.990536002630197,76652,43.92757341115333,75.94017094017093,24.289077725809726,100.0,30.939119380599735,19.530351241302395,23
Plateaux,Haho,Haho 2,82507,,0,0,0,0,0,54,45,39,5,True,1527.9074074074074,6.544899220672185,21.0531440965172,0.0,1527.9074074074074,-0.0,21.0531440965172,82507,43.56928334513804,78.16239316239316,17.45116340249446,100.0,36.34033016032618,21.24425892154079,24
Plateaux,Ogou,Ogou 1,116301,,0,0,0,0,0,271,147,196,31,True,429.1549815498155,23.30160531723717,23.665603381177785,0.0,429.1549815498155,-0.0,23.665603381177785,116301,42.55452786485627,64.61538461538461,3.634294362901308,100.0,40.94765921364835,31.136623762868943,25
Savanes,Oti,Oti 2,70369,,0,0,0,0,0,160,119,116,9,True,439.80625,22.737284883968798,28.52174742388641,0.0,439.80625,-0.0,28.52174742388641,70369,42.0466885843222,63.97435897435897,3.7682346189757223,100.0,49.51194714971685,17.691157056001312,26
Savanes,Tandjoaré,Tandjoaré 1,74692,,0,0,0,0,0,66,62,50,3,True,1131.6969696969695,8.836287688105822,21.900209249634685,0.0,1131.6969696969695,-0.0,21.900209249634685,74692,41.99051403830933,73.58974358974359,12.468796491502513,100.0,37.83421292165007,18.956609302230277,27
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,128164,,1,1,0,1,0,37,28,33,3,True,3463.891891891892,2.886926125901189,1.3927449349125853,0.7802503042976187,3463.891891891892,-0.7802503042976187,1.3927449349125853,128164,41.8276129152723,61.06837606837607,41.79626922915802,87.80026632543719,1.6672813633416845,34.609226121650856,28
Plateaux,Ogou,Ogou 2,56282,,0,0,0,0,0,44,27,36,1,True,1279.1363636363635,7.817774777015742,21.177737282650444,0.0,1279.1363636363635,-0.0,21.177737282650444,56282,41.15037863995765,73.11965811965811,14.322854557174193,100.0,36.560062505893534,13.567533231660017,29
